,year,week_number,content,relative_yearly,relative_period
302,2015,42,0,0.0,0.0
303,2015,43,1,50.0,50.0
304,2015,44,0,0.0,0.0
305,2015,45,0,0.0,0.0
306,2015,46,1,50.0,50.0
307,2015,47,0,0.0,0.0
308,2015,48,0,0.0,0.0
309,2015,49,1,50.0,50.0
310,2015,50,0,0.0,0.0
311,2015,51,0,0.0,0.0
312,2015,52,2,100.0,100.0
313,2016,1,0,0.0,0.0
314,2016,2,0,0.0,0.0
315,2016,3,0,0.0,0.0
316,2016,4,1,100.0,50.0
317,2016,5,0,0.0,0.0
318,2016,6,0,0.0,0.0
319,2016,7,0,0.0,0.0
320,2016,8,0,0.0,0.0
321,2016,9,0,0.0,0.0
322,2016,10,0,0.0,0.0
323,2016,11,0,0.0,0.0
324,2016,12,0,0.0,0.0
325,2016,13,0,0.0,0.0
326,2016,14,0,0.0,0.0
327,2016,15,0,0.0,0.0
328,2016,16,0,0.0,0.0
329,2016,17,0,0.0,0.0
330,2016,18,0,0.0,0.0
331,2016,19,1,100.0,50.0
332,2016,20,0,0.0,0.0
333,2016,21,0,0.0,0.0
334,2016,22,1,100.0,50.0
335,2016,23,0,0.0,0.0
336,2016,24,0,0.0,0.0
337,2016,25,0,0.0,0.0
338,2016,26,0,0.0,0.0
339,2016,27,0,0.0,0.0
340,2016,28,0,0.0,0.0
341,2016,29,1,100.0,50.0
342,2016,30,0,0.0,0.0
343,2016,31,0,0.0,0.0
344,2016,32,0,0.0,0.0
345,2016,33,0,0.0,0.0
346,2016,34,0,0.0,0.0
347,2016,35,0,0.0,0.0
348,2016,36,0,0.0,0.0
349,2016,37,0,0.0,0.0
350,2016,38,0,0.0,0.0
351,2016,39,0,0.0,0.0
352,2016,40,0,0.0,0.0
353,2016,41,0,0.0,0.0
354,2016,42,0,0.0,0.0
355,2016,43,0,0.0,0.0
356,2016,44,0,0.0,0.0
357,2016,45,0,0.0,0.0
358,2016,46,0,0.0,0.0
359,2016,47,1,100.0,50.0
360,2016,48,1,100.0,50.0
361,2016,49,0,0.0,0.0
362,2016,50,0,0.0,0.0
363,2016,51,0,0.0,0.0
364,2016,52,0,0.0,0.0
365,2017,1,0,0.0,0.0
366,2017,2,1,50.0,50.0
367,2017,3,0,0.0,0.0
368,2017,4,0,0.0,0.0
369,2017,5,1,50.0,50.0
370,2017,6,0,0.0,0.0
371,2017,7,0,0.0,0.0
372,2017,8,0,0.0,0.0
373,2017,9,0,0.0,0.0
374,2017,10,0,0.0,0.0
375,2017,11,0,0.0,0.0
376,2017,12,0,0.0,0.0
377,2017,13,0,0.0,0.0
378,2017,14,0,0.0,0.0
379,2017,15,0,0.0,0.0
380,2017,16,0,0.0,0.0
381,2017,17,0,0.0,0.0
382,2017,18,1,50.0,50.0
383,2017,19,0,0.0,0.0
384,2017,20,1,50.0,50.0
385,2017,21,0,0.0,0.0
386,2017,22,0,0.0,0.0
387,2017,23,2,100.0,100.0
388,2017,24,1,50.0,50.0
389,2017,25,0,0.0,0.0
390,2017,26,1,50.0,50.0
391,2017,27,0,0.0,0.0
392,2017,28,0,0.0,0.0
393,2017,29,1,50.0,50.0
394,2017,30,0,0.0,0.0
395,2017,31,0,0.0,0.0
396,2017,32,0,0.0,0.0
397,2017,33,0,0.0,0.0
398,2017,34,0,0.0,0.0
399,2017,35,0,0.0,0.0
400,2017,36,0,0.0,0.0
401,2017,37,0,0.0,0.0
402,2017,38,0,0.0,0.0
403,2017,39,0,0.0,0.0
404,2017,40,0,0.0,0.0
405,2017,41,0,0.0,0.0
406,2017,42,0,0.0,0.0
407,2017,43,0,0.0,0.0
408,2017,44,0,0.0,0.0
409,2017,45,0,0.0,0.0
410,2017,46,0,0.0,0.0
411,2017,47,1,50.0,50.0
412,2017,48,0,0.0,0.0
413,2017,49,0,0.0,0.0
414,2017,50,0,0.0,0.0
415,2017,51,0,0.0,0.0
416,2017,52,0,0.0,0.0
417,2017,53,0,0.0,0.0
418,2018,1,0,0.0,0.0
419,2018,2,0,0.0,0.0
420,2018,3,0,0.0,0.0
421,2018,4,0,0.0,0.0
422,2018,5,0,0.0,0.0
423,2018,6,0,0.0,0.0
424,2018,7,0,0.0,0.0
425,2018,8,0,0.0,0.0
426,2018,9,0,0.0,0.0
427,2018,10,0,0.0,0.0
428,2018,11,0,0.0,0.0
429,2018,12,0,0.0,0.0
430,2018,13,0,0.0,0.0
431,2018,14,0,0.0,0.0
432,2018,15,0,0.0,0.0
433,2018,16,0,0.0,0.0
434,2018,17,0,0.0,0.0
435,2018,18,0,0.0,0.0
436,2018,19,1,50.0,50.0
437,2018,20,0,0.0,0.0
438,2018,21,0,0.0,0.0
439,2018,22,0,0.0,0.0
440,2018,23,0,0.0,0.0
441,2018,24,0,0.0,0.0
442,2018,25,0,0.0,0.0
443,2018,26,1,50.0,50.0
444,2018,27,0,0.0,0.0
445,2018,28,0,0.0,0.0
446,2018,29,0,0.0,0.0
447,2018,30,0,0.0,0.0
448,2018,31,0,0.0,0.0
449,2018,32,0,0.0,0.0
450,2018,33,0,0.0,0.0
451,2018,34,0,0.0,0.0
452,2018,35,0,0.0,0.0
453,2018,36,0,0.0,0.0
454,2018,37,0,0.0,0.0
455,2018,38,0,0.0,0.0
456,2018,39,1,50.0,50.0
457,2018,40,0,0.0,0.0
458,2018,41,0,0.0,0.0
459,2018,42,0,0.0,0.0
460,2018,43,0,0.0,0.0
461,2018,44,2,100.0,100.0
462,2018,45,0,0.0,0.0
463,2018,46,0,0.0,0.0
464,2018,47,0,0.0,0.0
465,2018,48,0,0.0,0.0
466,2018,49,0,0.0,0.0
467,2018,50,0,0.0,0.0
468,2018,51,0,0.0,0.0
469,2018,52,0,0.0,0.0
470,2019,1,0,0.0,0.0
471,2019,2,0,0.0,0.0
472,2019,3,1,100.0,50.0
473,2019,4,0,0.0,0.0
474,2019,5,0,0.0,0.0
475,2019,6,0,0.0,0.0
476,2019,7,0,0.0,0.0
477,2019,8,0,0.0,0.0
478,2019,9,0,0.0,0.0
479,2019,10,0,0.0,0.0
480,2019,11,0,0.0,0.0
481,2019,12,0,0.0,0.0
482,2019,13,1,100.0,50.0
483,2019,14,0,0.0,0.0
484,2019,15,0,0.0,0.0
485,2019,16,0,0.0,0.0
486,2019,17,0,0.0,0.0
487,2019,18,0,0.0,0.0
488,2019,19,0,0.0,0.0
489,2019,20,0,0.0,0.0
490,2019,21,0,0.0,0.0
491,2019,22,0,0.0,0.0
492,2019,23,0,0.0,0.0
493,2019,24,1,100.0,50.0
494,2019,25,0,0.0,0.0
495,2019,26,0,0.0,0.0
496,2019,27,0,0.0,0.0
497,2019,28,0,0.0,0.0
498,2019,29,1,100.0,50.0
499,2019,30,0,0.0,0.0
500,2019,31,1,100.0,50.0
501,2019,32,0,0.0,0.0
502,2019,33,0,0.0,0.0
503,2019,34,0,0.0,0.0
504,2019,35,0,0.0,0.0
505,2019,36,0,0.0,0.0
506,2019,37,0,0.0,0.0
507,2019,38,0,0.0,0.0
508,2019,39,0,0.0,0.0
509,2019,40,1,100.0,50.0
510,2019,41,0,0.0,0.0
511,2019,42,0,0.0,0.0
512,2019,43,0,0.0,0.0
513,2019,44,1,100.0,50.0
514,2019,45,0,0.0,0.0
515,2019,46,0,0.0,0.0
516,2019,47,0,0.0,0.0
517,2019,48,0,0.0,0.0
518,2019,49,0,0.0,0.0
519,2019,50,0,0.0,0.0
520,2019,51,0,0.0,0.0
521,2019,52,0,0.0,0.0
522,2020,1,1,50.0,50.0
523,2020,2,1,50.0,50.0
524,2020,3,2,100.0,100.0
525,2020,4,1,50.0,50.0
526,2020,5,0,0.0,0.0
527,2020,6,1,50.0,50.0
528,2020,7,1,50.0,50.0
529,2020,8,0,0.0,0.0
530,2020,9,0,0.0,0.0
531,2020,10,0,0.0,0.0
532,2020,11,0,0.0,0.0
533,2020,12,1,50.0,50.0
534,2020,13,0,0.0,0.0
535,2020,14,0,0.0,0.0
536,2020,15,0,0.0,0.0
537,2020,16,0,0.0,0.0
538,2020,17,0,0.0,0.0
539,2020,18,0,0.0,0.0
540,2020,19,0,0.0,0.0
541,2020,20,0,0.0,0.0
542,2020,21,0,0.0,0.0
543,2020,22,0,0.0,0.0
544,2020,23,0,0.0,0.0
545,2020,24,0,0.0,0.0
546,2020,25,0,0.0,0.0
547,2020,26,0,0.0,0.0
548,2020,27,0,0.0,0.0
549,2020,28,0,0.0,0.0
550,2020,29,0,0.0,0.0
551,2020,30,0,0.0,0.0
552,2020,31,0,0.0,0.0
553,2020,32,0,0.0,0.0
554,2020,33,0,0.0,0.0
555,2020,34,0,0.0,0.0
556,2020,35,0,0.0,0.0
